Yrk-tun Sentence	Yrk-tun Token	Yrk-tun Segmented	Yrk-tun Lemma	Morphologycal analysis	POS	notes	Rus-sentence-level translation	Eng-sentence-level translation
"ӈаво' пирка""на"" нёнда син' тэвыв'."							В какой-то момент я дошел до ее двери.	At one point I reached the door.
	ӈаво'	ӈаво'	ӈамгэ	what.gen.pl	Pron			
	"пирка""на"""	"пир-ка""на"""	пир	until-pl.loc	Adp			
	нёнда	нё-нда	нё	door-gen.3sg	N			
	син'	си-н'	си	hole-dat	N			
	тэвыв'	тэвы-в'	тэва-	arrive-1sg.refl	V			
								
"Танця' сер тю""у' танэяв'."							Я поднялся вверх по лестнице.	I went up the stairs.
	танця'	танця'	"танцие"""	stairs	N			
	сер	сер	сер'	when	Adp			
	"тю""у'"	"тю""у'"	"тю""у'"	upwards	Adv			
	танэяв'	танэ-я-в'	тана-	go.up-co.refl-1sg.refl	V			
								
Пирця харад' мюмня яда хаядм'.							Я прошел по башне внутри.	I went inside the tower.
	пирця	пирця	пирця	tall	Adj			
	харад'	харад-'	харад	house-gen	N			
	мюмня	мюмня	мюмня	through	Adp			
	яда	яда	яда	on.foot	Adv			
	хаядм'	хая-дм'	хая-	go-1sg	V			
								
Няби хэвувнанда ӈани' несэй нё' сивна тарпыв'.							С другой ее стороны я вышел в другую дверь.	On the other side I went out through another door.
	няби	няби	няби	other	Pron			
	хэвувнанда	хэву-вна-нда	хэв	side-pros-3sg	N			
	ӈани'	ӈани'	ӈани'	again	Cnj			
	несэй	несэй	несэй	new (other)	Adj			
	нё'	нё-'	нё	door-gen	N			
	сивна	си-вна	си	hole-prol	N			
	тарпыв'	тарпы-в'	тарпа-	go.out-1sg.refl	V			
								
"Танця' сер' ха""мыв', тамна тяха' ядалъяв', сятаняю' сюртев."							Я спустился по лестнице, стал идти дальше, повернул налево.	I went down the stairs, started walking and turned left.
	танця'	танця'	"танцие"""	stairs	N			
	сер'	сер'	сер'	when	Adp			
	"ха""мыв'"	"ха""мы-в'"	"ха""ма-"	go.down-1sg.refl	V			
	тамна	тамна	тамна	even	Adv			
	тяха'	тяха'	"тяха"""	further	Adv			
	ядалъяв'	ядал-ъя-в'	ядал-	go.forth-co.refl-1sg.refl	V			
	сятаняю'	сятаня-ю'	сятаняю'	to.the.left-pol	Adv			
	сюртев	сюрте-в	сюрте-	go.around-1sg.sg	V			
								
Сятаняю' ядадм'- ядадм', ӈоб' ядадм'.							Влево иду-иду, все иду.	I turned left and walked on.
	сятаняю'	сятаня-ю'	сятаняю'	to.the.left-pol	Adv			
	ядадм'-	яда-дм'	яда-	walk-1sg	V			
	ядадм'	яда-дм'	яда-	walk-1sg	V			
	ӈоб'	ӈоб'	ӈоб'	once	Adv			
	ядадм'	яда-дм'	яда-	walk-1sg	V			
								
"Ехэрана ӈани ӈопой марядм' манэ""ӈадм'."							Увидел еще один незнакомый забор.	I saw another unfamiliar fence.
	ехэрана	ехэра-на	ехэра-	not.know-ptcp.cont	Adj	PTCP		
	ӈани	ӈани	ӈани'	another	Adj			
	ӈопой	ӈопой	ӈопой	one	Num			
	марядм'	маря-д-м'	"мар"""	fence-???-acc	N			
	"манэ""ӈадм'"	"манэ""-ӈа-дм'"	"манэ""-"	see-co-1sg	V			
								
"Маряд' тяхана тэхэ' танявэхэ""."							За забором оказались два оленя.	Two deer appeared to be behind the fence.
	маряд'	маря-д'	"мар"""	fence-gen.2sg	N			
	тяхана	тяхана	тяхана	behind	Postp			
	тэхэ'	тэ-хэ'	ты	reindeer-du	N			
	"танявэхэ"""	"таня-вэ-хэ"""	таня-	exist-infr-3du	V			
