Sent-Nr.	Yrk-tun Sentence	Yrk-tun Token	Yrk-tun Segmented	Yrk-tun Lemma	Morphologycal analysis	POS	notes	Rus-sentence-level translation	Eng-sentence-level translation
		хэвувнанда	хэву-вна-нда	хэв	side-prol-poss.3sg	NOUN			
		яля'	яля-'	яля	sun-gen	NOUN			
		пырдари'	пырдари'	пырдари'	against	ADJ			
		сюртев.	сюрте-в	сюрте-	go.around-1sg.sg	VERB			
									
25	"Тамна тяха"" ялъяв', ядвани' сер' пулм' манэ""ӈадм'."							Направился пешком дальше, пока я шел, увидел мост.	I keep going, and as I go I see a bridge.
		Тамна	тамна	тамна	even	ADV			
		"тяха"""	"тяха"""	"тяха"""	further	ADV			
		ялъяв',	ялъя-в'	ялъя-	walk-1sg.refl	VERB			
		ядвани'	яд-ва-ни'	яд-	walk-ipfv.an-gen.poss.1sg	NOUN	AN		
		сер'	сер'	сер'	when	ADP			
		пулм'	пул-м'	пул	bridge-acc	NOUN			
		"манэ""ӈадм'."	"манэ""-ӈа-дм'"	"манэ""-"	see-co-1sg	VERB			
									
26	Пул' сер' яхам' няби' ня' мадав.							Перешел реку по мосту на другую сторону.	I cross the river on the bridge to the other side.
		Пул'	пул-'	пул	bridge-gen	NOUN			
		сер'	сер'	сер'	when	ADP			
		яхам'	яха-м'	яха	river-acc	NOUN			
		няби'	няби'	няби	other	PRON			
		ня'	ня'	ня'	to	ADP			
		мадав.	мада-в	мада-	pass.across-1sg.sg	VERB			
									
27	Тадтикахад сятанякубта' мэхэя тамна тяха' ялъяв'.							После этого слегка повернув влево я пошел дальше.	Then I keep walking and turn left.
		Тадтикахад	тадтикахад	тадтикахад	afterwards	ADV			
		сятанякубта'	сятанякубта-'	сятанякубта	left.side-gen	NOUN			
		мэхэя	мэ-хэя	мэ-	take-intens.cvb	ADV	CVB		
		тамна	тамна	тамна	even	ADV			
		тяха'	тяха'	тяха'	further	ADV			
		ялъяв'.	ялъя-в'	ялъя-	walk-1sg.refl	VERB			
									
28	Тадтикахад маряд' нё сивня тарпыв'.							А затем вышел в ворота забора.	Then I go through the gate of the fence.
		Тадтикахад	тадтикахад	тадтикахад	afterwards	ADV			
		маряд'	маря-д'	"мар"""	fence-gen.poss.2sg	NOUN			
		нё	нё	нё	door	NOUN			
		сивня	си-вня	си	hole-prol	NOUN			
		тарпыв'.	тарпы-в'	тарпа-	go.out-1sg.refl	VERB			
